phi,method,n_pairs,median_gain_pct,mean_gain_pct,win_rate,median_abf_err,median_fr_err,ttest_p,wilcoxon_p,boot_ci_lo_median_gain,boot_ci_hi_median_gain
0.0,fr_estimated,20,13.038441929238118,13.598301254532894,1.0,0.046417196279799844,0.03991905099224263,7.966054541118581e-16,1.9073486328125e-06,12.299904987206759,14.69148553568771
0.0,fr_oracle,20,-6.480622658103598,-8.143957515286994,0.05,0.046417196279799844,0.04896465250813694,0.00014846128541280666,8.20159912109375e-05,-12.085634202793257,-3.3522074011452543
0.0,fr_uniform,20,13.047004311408692,13.534396374390141,1.0,0.046417196279799844,0.04014772279987904,1.0117182120677912e-14,1.9073486328125e-06,12.215740239199432,14.412955934068243
0.25,fr_estimated,20,4.735062140731072,3.2810986300658045,0.75,0.036022293198299596,0.03507894872427809,0.0036776487724960857,0.00485992431640625,1.2668216199627733,6.029403805562861
0.25,fr_oracle,20,-5.69675690536458,-4.9055455972846085,0.3,0.036022293198299596,0.03796935000066253,0.005887920286897662,0.006389617919921875,-8.79611666993447,-0.24611001619452963
0.25,fr_uniform,20,6.02612765540605,5.429347828522992,0.8,0.036022293198299596,0.033865199397837,0.00030703283121240684,0.0004825592041015625,2.8593644113571735,7.616687317456098
0.5,fr_estimated,20,-9.712357604611935,-9.578043051418259,0.2,0.028570888543766354,0.03171000613971109,0.004427912105279434,0.006389617919921875,-16.16076703523201,-2.9814546436449465
0.5,fr_oracle,20,9.168710373325771,12.36003220692198,0.95,0.028570888543766354,0.02514368103219131,6.4069013161581e-06,3.814697265625e-06,7.819393510692564,17.299350685929905
0.5,fr_uniform,20,-14.333611485873291,-12.921473023646442,0.15,0.028570888543766354,0.03316144969937794,0.0005027913617891178,0.001209259033203125,-21.968590340264644,-5.746734054380388
0.75,fr_estimated,20,-8.116205798322692,-5.75093257082671,0.35,0.024799842954854368,0.026314923984968194,0.3165184973544193,0.24548721313476562,-18.94373225172913,5.594613471406607
0.75,fr_oracle,20,43.66451345257467,41.62834876786984,1.0,0.024799842954854368,0.013898066296377392,1.0438872317895626e-11,1.9073486328125e-06,37.46912641913134,46.51309640067542
0.75,fr_uniform,20,-0.5327542233491698,-5.596315108711043,0.45,0.024799842954854368,0.025085928414173852,0.3583743170079816,0.6215133666992188,-14.191398962559607,9.193464633135267
0.9,fr_estimated,20,12.664181646567002,12.73224511763227,0.75,0.03121695819974564,0.026356283273208908,0.002379637570395298,0.00365447998046875,4.305828773663466,20.975427386703196
0.9,fr_oracle,20,42.36477586861122,41.82407547886035,1.0,0.03121695819974564,0.017781190298774653,1.4056574590050557e-12,1.9073486328125e-06,36.20022478946591,45.49471853511679
0.9,fr_uniform,20,12.892092082904583,9.336686062181851,0.7,0.03121695819974564,0.028414496131310297,0.024186226599494275,0.03276824951171875,-0.16755941076375114,19.33745886935089
