phi,gamma,n_seeds,med_abf_l2_f,med_fr_l2_f,median_gain_pct,win_rate,med_fr_ess,med_repl_fraction,med_score_std
0.75,1.0,20,0.024657750141164905,0.02471243773348986,-7.420373471042291,0.4,370.5,0.000561767578125,0.15498961950916113
0.75,5.0,20,0.024527775745403935,0.027763595864869137,-11.599903081516135,0.3,206.5,0.0022388916015625,0.12344784373414847
0.75,15.0,20,0.022885710571549485,0.025091654710906103,-6.558515158154237,0.35,115.5,0.005609252929687499,0.10406890547980117
0.75,30.0,20,0.02406205231670349,0.028106125643071828,-17.948604644672823,0.15,82.0,0.009896728515625001,0.09249894689064984
0.75,50.0,20,0.02315241555059852,0.02885122739780687,-18.909311172669153,0.3,58.5,0.015004760742187501,0.08491014260541752
0.9,1.0,20,0.029792373509436646,0.029595765090064445,2.015609782215446,0.65,369.0,0.000557861328125,0.15483295384760254
0.9,5.0,20,0.030270590686768493,0.028411370429302814,3.727945429311581,0.7,206.0,0.0022343750000000002,0.12259181398816513
0.9,15.0,20,0.031198743056574992,0.02559076910082552,16.496133018149237,0.95,116.0,0.00555712890625,0.10246460017996607
0.9,30.0,20,0.031128911331201187,0.028183751876085315,8.025301805967873,0.75,77.0,0.00977294921875,0.08977850621800518
0.9,50.0,20,0.03098164867978686,0.025966022057259744,16.287757846552072,0.8,59.5,0.01470703125,0.08143500805153969
